City,Rank,Sunshine hours(City),Cost of a bottle of water(City),Obesity levels(Country),Life expectancy(years) (Country),Pollution(Index score) (City),Annual avg. hours worked,Happiness levels(Country),Outdoor activities(City),Number of take out places(City),Cost of a monthly gym membership(City)
Amsterdam,1,1858,£1.92,20.40%,81.20,30.93,1434,7.44,422,1048,£34.90
Sydney,2,2636,£1.48,29.00%,82.10,26.86,1712,7.22,406,1103,£41.66
Vienna,3,1884,£1.94,20.10%,81.00,17.33,1501,7.29,132,1008,£25.74
Stockholm,4,1821,£1.72,20.60%,81.80,19.63,1452,7.35,129,598,£37.31
Copenhagen,5,1630,£2.19,19.70%,79.80,21.24,1380,7.64,154,523,£32.53
Helsinki,6,1662,£1.60,22.20%,80.40,13.08,1540,7.80,113,309,£35.23
Fukuoka,7,2769,£0.78,4.30%,83.20,-,1644,5.87,35,539,£55.87
Berlin,8,1626,£1.55,22.30%,80.60,39.41,1386,7.07,254,1729,£26.11
Barcelona,9,2591,£1.19,23.80%,82.20,65.19,1686,6.40,585,2344,£37.80
Vancouver,10,1938,£1.08,29.40%,81.70,24.26,1670,7.23,218,788,£31.04
Melbourne,11,2363,£1.57,29.00%,82.10,25.90,1712,7.22,243,813,£36.89
Beijing,12,2671,£0.26,6.20%,75.40,85.43,-,5.12,223,261,£38.62
Bangkok,13,2624,£0.22,10.00%,74.10,76.64,-,5.99,377,1796,£50.03
Buenos Aires,14,2525,£0.57,28.30%,75.90,52.64,-,5.97,246,1435,£22.45
Toronto,15,2066,£1.09,29.40%,81.70,37.83,1670,7.23,174,1656,£32.64
Madrid,16,2769,£1.30,23.80%,82.20,52.68,1686,6.40,216,2491,£34.54
Jakarta,17,2983,£0.21,6.90%,68.50,84.39,-,5.28,114,833,£29.94
Seoul,18,2066,£0.59,4.70%,81.30,57.82,1967,5.87,144,389,£43.03
Frankfurt,19,1662,£1.95,22.30%,80.60,37.78,1386,7.07,23,551,£39.01
Geneva,20,-,£2.62,19.50%,82.60,27.25,1557,7.56,44,444,£70.00
Tel Aviv,21,3311,£1.63,26.10%,81.90,47.28,1898,7.12,139,420,£58.31
Istanbul,22,2218,£0.15,32.10%,74.70,69.49,1832,5.13,419,934,£16.97
Cairo,23,3542,£0.16,32.00%,70.70,91.74,-,4.15,323,250,£23.25
Taipei,24,1405,£0.57,6.20%,75.40,49.32,-,5.12,134,717,£34.76
Los Angeles,25,3254,£1.52,36.20%,78.80,66.07,1779,6.94,223,1439,£32.00
Mumbai,26,2584,£0.15,3.90%,67.30,82.84,-,3.57,187,1183,£19.54
Boston,27,2634,£1.39,36.20%,78.80,27.03,1779,6.94,88,588,£46.27
Dublin,28,1453,£1.40,25.30%,80.50,40.07,1772,7.09,159,659,£37.35
Tokyo,29,1877,£0.76,4.30%,83.20,42.84,1644,5.87,387,5802,£70.82
Chicago,30,2508,£1.20,36.20%,78.80,43.33,1779,6.94,171,1320,£41.14
Hong Kong,31,1836,£0.75,6.20%,75.40,67.46,-,5.51,277,1257,£57.95
Shanghai,32,1776,£0.29,6.20%,75.40,77.40,-,5.12,108,346,£44.68
Brussels,33,1546,£2.11,22.10%,80.40,62.67,1583,6.86,55,988,£25.34
San Francisco,34,3062,£1.60,36.20%,78.80,47.36,1779,6.94,242,1031,£65.13
Paris,35,1662,£1.95,21.60%,81.80,65.10,1505,6.66,331,4363,£35.93
Sao Paulo,36,2003,£0.44,22.10%,73.90,79.78,-,6.37,158,3355,£16.07
Zurich,37,1566,£3.20,19.50%,82.60,17.31,1557,7.56,69,538,£73.11
London,38,1633,£1.16,27.80%,80.40,58.91,1538,7.16,433,6417,£42.71
Johannesburg,39,3124,£0.59,28.30%,56.30,61.83,-,4.81,194,492,£24.28
Milan,40,1915,£1.15,19.90%,82.70,67.19,1718,6.38,110,2396,£53.49
"Washington, D.C.",41,2528,£1.45,36.20%,78.80,39.18,1779,6.94,83,744,£65.99
New York,42,2535,£1.32,36.20%,78.80,57.36,1779,6.94,359,3081,£64.66
Moscow,43,1901,£0.41,23.10%,69.50,57.63,1965,5.54,322,3206,£31.40
Mexico City,44,2555,£0.45,28.90%,76.40,82.78,2137,6.46,192,1313,£41.99
